# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
55 Cnc e,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2022-09-27,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e","C2H2, Ca, Ca+, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,TOI-1773
G 9-40 b,Confirmed,0.013,0.00198,0.00198,,,,0.17,0.0058,0.0058,5.7459982,2e-06,2e-06,0.0418,0.00064,0.00064,0.0,,,89.03,0.1,0.1,,2019,2022-08-16,,,,,,,2458497.77747,0.00033,0.00032,2459503.32682,0.00042,0.00042,2458500.65047,0.00033,0.00033,,,,0.513,0.042,0.042,,,,3.22,0.49,0.49,440.6,7.6,7.6,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08585232+2104344 b, EPIC 212048748 b, EPIC 212048748.01, K2-313 b, LSPM J0858+2104 b, TIC 203214081 b, WISE J085852.46+210430.8 b",,G 9-40,134.718109,21.076048,13.8,,10.058,9.433,,27.93,0.04,0.04,0.04,0.11,0.1,0.29,0.02,0.02,0.31,0.01,0.01,M2.5 V,9.9,4.1,2.6,3348.0,32.0,32.0,,,"2MASS J08585232+2104344, EPIC 212048748, K2-313, LSPM J0858+2104, TIC 203214081, WISE J085852.46+210430.8"
GJ 1132 b,Confirmed,0.00522,0.00072,0.00072,,,,0.1035,0.0098,0.0098,1.628931,2.7e-05,2.7e-05,0.0154,0.0015,0.0015,0.0,,,,,,,2015,2018-11-15,,,,,,,,,,2457184.55786,0.00032,0.00032,,,,,,,0.38,0.14,0.14,,,,2.85,0.34,0.34,580.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"CO2, H2, N2, O2",GJ 1132,153.716666684,-47.156666675,13.5,,,,,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5.0,0.0,10.0,3270.0,140.0,140.0,,,
GJ 1252 b,Confirmed,0.00415,0.00176,0.00176,,,,0.1053,0.00696,0.00696,0.5182349,5e-06,6.3e-06,0.00916,0.00076,0.00076,,,,85.0,1.8,2.1,,2018,2022-08-22,,,,,,,,,,2458668.09739,0.00029,0.00032,2458668.3375,0.0007,0.0019,,,,0.44,0.17,0.12,,,,3.17,0.85,0.85,997.0,49.0,53.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,GJ 1252,306.925000014,-56.456944459,12.0,,,,,20.38,0.02,0.02,0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.02,0.02,,,,,3458.0,133.0,140.0,,,
GJ 143 c,Confirmed,0.01164,nan,0.0,,,,0.07958,0.00517,0.00571,7.78993,0.00044,0.00051,0.0695,0.0023,0.0021,,,,88.9,0.37,0.5,,2018,2020-03-06,,,,,,,,,,2458332.29123,0.00092,0.0021,,,,,,,0.42,0.18,0.11,,,,1.43,1.43,0.0,703.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"TOI  186.02, HD 21749 c",,GJ 143,51.745833353,-63.499166689,8.3,,,,,16.33,0.03,0.03,0.003,0.06,0.06,0.76,0.007,0.007,0.73,0.01,0.01,K4.5V,3.8,3.7,3.7,4640.0,100.0,100.0,,,"HD 21749, TOI-186"
GJ 3473 b,Confirmed,0.00585,0.0009,0.0009,,,,0.11277,0.00045,0.00045,1.1980035,1.9e-06,1.9e-06,0.01589,0.00062,0.00062,0.0,,,87.95,0.047,0.047,,2020,2020-09-23,,,,,,,,,,2458492.20408,0.00043,0.00043,,,,,,,,,,,,,2.21,0.35,0.35,773.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 3473,120.595833341,3.3388889,13.0,,,,,27.39,0.04,0.04,0.11,0.19,0.19,0.36,0.016,0.016,0.364,0.012,0.012,M4V,,,,3347.0,54.0,54.0,,,TOI-488
GJ 357 b,Confirmed,0.006566,0.00101,0.00101,,,,0.10411,0.0033,0.0033,3.93086,4e-05,4e-05,0.033,0.001,0.001,0.047,0.047,0.059,88.496,0.043,0.025,,2019,2020-07-21,220.0,70.0,70.0,2458517.99912,0.00057,0.00056,,,,2458517.9994,0.0001,0.0001,,,,,,,0.529,0.01,0.005,,,,1.84,0.23,0.23,525.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-562.01,,GJ 357,144.006821883,-21.6607995444,,,,,,9.444,0.005,0.005,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,M2.5 V,,,,3505.0,51.0,51.0,,,"L 678-39, Gliese 357, TOI 562"
GJ 367  b,Confirmed,0.00047,0.00013,0.00022,,,,0.0526,0.0018,0.0018,0.3219659,4e-07,4e-07,0.0069,0.0001,0.0001,,,,,,,,2021,2022-04-07,,,,,,,,,,2458543.4874,0.0006,0.0006,,,,,,,0.09,0.07,0.07,,,,,,,1416.0,65.0,65.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,TOI-731 b,,GJ 367,146.12500001,-45.776388912,10.0,,,,,9.41,0.005,0.005,-0.01,0.12,0.12,0.454,0.011,0.011,0.457,0.013,0.013,M1,,,,3522.0,70.0,70.0,,,TOI-731
GJ 3929 b,Confirmed,0.00381,0.0013,0.0013,,,,0.1026,0.0036,0.0036,2.6162745,2.9e-06,3e-06,0.02569,0.00088,0.00088,,,,89.65,0.3,0.23,,2022,2022-02-03,,,,,,,,,,2459320.058,0.0002,0.0002,,,,,,,0.108,0.089,0.089,,,,1.23,0.43,0.43,569.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2013 b,,GJ 3929,239.579166673,35.40666668,12.0,,,,,15.83,0.006,0.006,0.0,0.16,0.16,0.309,0.014,0.014,0.35,0.01,0.01,M3.5V,,,,3369.0,51.0,51.0,,,TOI-2013
GJ 486 b,Confirmed,0.00887,0.00038,0.00038,,,,0.11643,0.00598,0.00562,1.467119,3e-05,3e-05,0.01734,0.00027,0.00027,0.05,0.05,0.0,88.4,1.4,1.4,,2021,2021-03-05,,,,,,,,,,2458931.15935,0.00042,0.00042,,,,,,,,,,,,,3.37,0.08,0.08,700.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GJ 486,191.987500019,9.751388905,11.4,,,,,8.0761,0.0041,0.0041,0.07,0.16,0.16,0.323,0.15,0.15,0.328,0.011,0.011,M3.5V,,,,3340.0,54.0,54.0,,,
